timeline_id,project_id,stage_name,planned_start_date,planned_end_date,actual_start_date,actual_end_date,stage_status,responsible_department,planned_duration_days,actual_duration_days,stage_delay_days
TL-0004814,LG-000438,Compensation,2022-10-20,2023-02-16,2022-10-20,2023-02-28,Completed,R&R Authority,119,131,12
TL-0004815,LG-000438,Legal Resolution,2023-02-21,2023-06-11,2023-02-21,2023-06-17,Completed,R&R Authority,110,116,6
TL-0004816,LG-000438,R&R,2023-06-16,2023-10-14,2023-06-16,2023-10-16,Completed,Revenue Department,120,122,2
TL-0004817,LG-000438,Possession,2023-10-19,2023-11-21,2023-10-19,2023-11-23,Completed,Finance Department,33,35,2
TL-0004818,LG-000438,Final Handover,2023-11-26,2024-01-03,2023-11-26,,In Progress,Legal Affairs,38,0,2
TL-0004819,LG-000439,Land Identification,2021-05-16,2021-06-15,2021-05-16,2021-06-15,Completed,Legal Affairs,30,30,0
TL-0004820,LG-000439,Survey,2021-06-20,2021-09-09,2021-06-20,,In Progress,Revenue Department,81,0,8
TL-0004821,LG-000439,Documentation,2021-09-14,2021-10-31,,,Not Started,Legal Affairs,47,0,0
TL-0004822,LG-000439,Approval,2021-11-05,2021-12-31,,,Not Started,Irrigation Department,56,0,0
TL-0004823,LG-000439,Notification,2022-01-05,2022-04-07,,,Not Started,Land Records Cell,92,0,0
TL-0004824,LG-000439,Objection/Hearing,2022-04-12,2022-07-08,,,Not Started,Irrigation Department,87,0,0
TL-0004825,LG-000439,Compensation,2022-07-13,2022-09-20,,,Not Started,Irrigation Department,69,0,0
TL-0004826,LG-000439,Legal Resolution,2022-09-25,2022-11-30,,,Not Started,Land Records Cell,66,0,0
TL-0004827,LG-000439,R&R,2022-12-05,2023-01-25,,,Not Started,Legal Affairs,51,0,0
TL-0004828,LG-000439,Possession,2023-01-30,2023-03-05,,,Not Started,Irrigation Department,34,0,0
TL-0004829,LG-000439,Final Handover,2023-03-10,2023-04-15,,,Not Started,R&R Authority,36,0,0
TL-0004830,LG-000440,Land Identification,2019-11-15,2020-02-09,2019-11-15,2020-02-23,Completed,Environmental Cell,86,100,14
TL-0004831,LG-000440,Survey,2020-02-14,2020-04-01,2020-02-14,,In Progress,Environmental Cell,47,0,4
TL-0004832,LG-000440,Documentation,2020-04-06,2020-07-14,,,Not Started,Irrigation Department,99,0,0
TL-0004833,LG-000440,Approval,2020-07-19,2020-08-21,,,Not Started,Finance Department,33,0,0
TL-0004834,LG-000440,Notification,2020-08-26,2020-10-02,,,Not Started,Revenue Department,37,0,0
TL-0004835,LG-000440,Objection/Hearing,2020-10-07,2020-11-21,,,Not Started,R&R Authority,45,0,0
TL-0004836,LG-000440,Compensation,2020-11-26,2021-01-27,,,Not Started,Finance Department,62,0,0
TL-0004837,LG-000440,Legal Resolution,2021-02-01,2021-05-24,,,Not Started,R&R Authority,112,0,0
TL-0004838,LG-000440,R&R,2021-05-29,2021-07-10,,,Not Started,Legal Affairs,42,0,0
TL-0004839,LG-000440,Possession,2021-07-15,2021-08-19,,,Not Started,Finance Department,35,0,0
TL-0004840,LG-000440,Final Handover,2021-08-24,2021-10-12,,,Not Started,Legal Affairs,49,0,0
TL-0004841,LG-000441,Land Identification,2024-09-11,2024-11-19,2024-09-11,2024-11-25,Completed,R&R Authority,69,75,6
TL-0004842,LG-000441,Survey,2024-11-24,2025-01-05,2024-11-24,2025-01-17,Completed,R&R Authority,42,54,12
TL-0004843,LG-000441,Documentation,2025-01-10,2025-04-05,2025-01-10,2025-04-09,Completed,Revenue Department,85,89,4
TL-0004844,LG-000441,Approval,2025-04-10,2025-07-01,2025-04-10,2025-07-14,Completed,Public Works Dept,82,95,13
TL-0004845,LG-000441,Notification,2025-07-06,2025-08-15,2025-07-06,2025-08-22,Completed,Revenue Department,40,47,7
TL-0004846,LG-000441,Objection/Hearing,2025-08-20,2025-12-12,2025-08-20,2025-12-26,Completed,R&R Authority,114,128,14
TL-0004847,LG-000441,Compensation,2025-12-17,2026-02-02,2025-12-17,2026-02-16,Completed,Environmental Cell,47,61,14
TL-0004848,LG-000441,Legal Resolution,2026-02-07,2026-03-29,2026-02-07,,In Progress,Public Works Dept,50,0,1
TL-0004849,LG-000441,R&R,2026-04-03,2026-05-06,,,Not Started,Land Records Cell,33,0,0
TL-0004850,LG-000441,Possession,2026-05-11,2026-08-09,,,Not Started,Environmental Cell,90,0,0
TL-0004851,LG-000441,Final Handover,2026-08-14,2026-10-10,,,Not Started,Finance Department,57,0,0
TL-0004852,LG-000442,Land Identification,2021-08-13,2021-12-01,2021-08-13,2022-04-13,Completed,Public Works Dept,110,243,133
TL-0004853,LG-000442,Survey,2021-12-06,2022-03-03,2021-12-06,2022-07-30,Completed,Environmental Cell,87,236,149
TL-0004854,LG-000442,Documentation,2022-03-08,2022-05-24,2022-03-08,2022-09-03,Completed,Irrigation Department,77,179,102
TL-0004855,LG-000442,Approval,2022-05-29,2022-07-01,2022-05-29,2022-10-22,Completed,Revenue Department,33,146,113
TL-0004856,LG-000442,Notification,2022-07-06,2022-08-23,2022-07-06,2022-11-21,Completed,Public Works Dept,48,138,90
TL-0004857,LG-000442,Objection/Hearing,2022-08-28,2022-12-06,2022-08-28,2023-04-06,Completed,Revenue Department,100,221,121
TL-0004858,LG-000442,Compensation,2022-12-11,2023-01-10,2022-12-11,2023-03-06,Completed,Land Records Cell,30,85,55
TL-0004859,LG-000442,Legal Resolution,2023-01-15,2023-03-16,2023-01-15,2023-06-25,Completed,Revenue Department,60,161,101
TL-0004860,LG-000442,R&R,2023-03-21,2023-06-30,2023-03-21,2023-08-14,Completed,Finance Department,101,146,45
TL-0004861,LG-000442,Possession,2023-07-05,2023-10-16,2023-07-05,2024-02-13,Completed,Land Records Cell,103,223,120
TL-0004862,LG-000442,Final Handover,2023-10-21,2024-02-01,2023-10-21,,Delayed,Revenue Department,103,0,102
TL-0004863,LG-000443,Land Identification,2023-12-06,2024-01-19,2023-12-06,2024-05-30,Completed,Legal Affairs,44,176,132
TL-0004864,LG-000443,Survey,2024-01-24,2024-03-04,2024-01-24,2024-06-04,Completed,Irrigation Department,40,132,92
TL-0004865,LG-000443,Documentation,2024-03-09,2024-06-23,2024-03-09,2024-10-26,Completed,Environmental Cell,106,231,125
TL-0004866,LG-000443,Approval,2024-06-28,2024-07-28,2024-06-28,2024-09-21,Completed,Revenue Department,30,85,55
TL-0004867,LG-000443,Notification,2024-08-02,2024-10-06,2024-08-02,2025-02-02,Completed,Land Records Cell,65,184,119
TL-0004868,LG-000443,Objection/Hearing,2024-10-11,2025-02-04,2024-10-11,2025-04-03,Completed,Land Records Cell,116,174,58
TL-0004869,LG-000443,Compensation,2025-02-09,2025-03-18,2025-02-09,2025-05-31,Completed,Irrigation Department,37,111,74
TL-0004870,LG-000443,Legal Resolution,2025-03-23,2025-06-24,2025-03-23,2025-09-20,Completed,Public Works Dept,93,181,88
TL-0004871,LG-000443,R&R,2025-06-29,2025-10-04,2025-06-29,2025-12-26,Completed,Revenue Department,97,180,83
TL-0004872,LG-000443,Possession,2025-10-09,2025-12-19,2025-10-09,,Delayed,Revenue Department,71,0,93
TL-0004873,LG-000443,Final Handover,2025-12-24,2026-04-07,,,Not Started,Public Works Dept,104,0,0
TL-0004874,LG-000444,Land Identification,2023-11-08,2024-01-20,2023-11-08,2024-01-27,Completed,Irrigation Department,73,80,7
TL-0004875,LG-000444,Survey,2024-01-25,2024-04-24,2024-01-25,2024-04-27,Completed,Irrigation Department,90,93,3
TL-0004876,LG-000444,Documentation,2024-04-29,2024-07-26,2024-04-29,2024-08-04,Completed,Public Works Dept,88,97,9
TL-0004877,LG-000444,Approval,2024-07-31,2024-10-17,2024-07-31,2024-10-23,Completed,Finance Department,78,84,6
TL-0004878,LG-000444,Notification,2024-10-22,2025-01-14,2024-10-22,2025-01-19,Completed,R&R Authority,84,89,5
TL-0004879,LG-000444,Objection/Hearing,2025-01-19,2025-04-06,2025-01-19,2025-04-07,Completed,Finance Department,77,78,1
TL-0004880,LG-000444,Compensation,2025-04-11,2025-07-02,2025-04-11,,In Progress,Public Works Dept,82,0,4
TL-0004881,LG-000444,Legal Resolution,2025-07-07,2025-10-19,,,Not Started,Finance Department,104,0,0
TL-0004882,LG-000444,R&R,2025-10-24,2026-02-20,,,Not Started,Environmental Cell,119,0,0
TL-0004883,LG-000444,Possession,2026-02-25,2026-04-23,,,Not Started,Revenue Department,57,0,0
TL-0004884,LG-000444,Final Handover,2026-04-28,2026-06-17,,,Not Started,Finance Department,50,0,0
TL-0004885,LG-000445,Land Identification,2023-05-22,2023-06-27,2023-05-22,2023-08-24,Completed,Legal Affairs,36,94,58
TL-0004886,LG-000445,Survey,2023-07-02,2023-09-05,2023-07-02,2023-12-22,Completed,Legal Affairs,65,173,108
TL-0004887,LG-000445,Documentation,2023-09-10,2023-12-08,2023-09-10,2024-04-26,Completed,Legal Affairs,89,229,140
TL-0004888,LG-000445,Approval,2023-12-13,2024-01-31,2023-12-13,2024-06-16,Completed,Environmental Cell,49,186,137
TL-0004889,LG-000445,Notification,2024-02-05,2024-05-02,2024-02-05,2024-06-21,Completed,Legal Affairs,87,137,50
TL-0004890,LG-000445,Objection/Hearing,2024-05-07,2024-06-20,2024-05-07,2024-10-26,Completed,R&R Authority,44,172,128
TL-0004891,LG-000445,Compensation,2024-06-25,2024-10-22,2024-06-25,,In Progress,Legal Affairs,119,0,32
TL-0004892,LG-000445,Legal Resolution,2024-10-27,2025-02-15,,,Not Started,Finance Department,111,0,0
TL-0004893,LG-000445,R&R,2025-02-20,2025-04-05,,,Not Started,Irrigation Department,44,0,0
TL-0004894,LG-000445,Possession,2025-04-10,2025-05-24,,,Not Started,Irrigation Department,44,0,0
TL-0004895,LG-000445,Final Handover,2025-05-29,2025-08-26,,,Not Started,Irrigation Department,89,0,0
TL-0004896,LG-000446,Land Identification,2024-03-21,2024-06-29,2024-03-21,2024-09-08,Completed,Revenue Department,100,171,71
TL-0004897,LG-000446,Survey,2024-07-04,2024-09-29,2024-07-04,2024-12-05,Completed,Public Works Dept,87,154,67
TL-0004898,LG-000446,Documentation,2024-10-04,2025-01-08,2024-10-04,2025-05-26,Completed,Irrigation Department,96,234,138
TL-0004899,LG-000446,Approval,2025-01-13,2025-04-12,2025-01-13,2025-08-25,Completed,Legal Affairs,89,224,135
TL-0004900,LG-000446,Notification,2025-04-17,2025-07-23,2025-04-17,2025-10-04,Completed,Revenue Department,97,170,73
TL-0004901,LG-000446,Objection/Hearing,2025-07-28,2025-10-19,2025-07-28,2025-12-08,Completed,Environmental Cell,83,133,50
TL-0004902,LG-000446,Compensation,2025-10-24,2026-01-07,2025-10-24,2026-03-05,Completed,Environmental Cell,75,132,57
TL-0004903,LG-000446,Legal Resolution,2026-01-12,2026-05-08,2026-01-12,2026-09-11,Completed,Environmental Cell,116,242,126
TL-0004904,LG-000446,R&R,2026-05-13,2026-07-23,2026-05-13,2026-12-09,Completed,Environmental Cell,71,210,139
TL-0004905,LG-000446,Possession,2026-07-28,2026-10-31,2026-07-28,,In Progress,Land Records Cell,95,0,39
TL-0004906,LG-000446,Final Handover,2026-11-05,2027-01-15,,,Not Started,Land Records Cell,71,0,0
TL-0004907,LG-000447,Land Identification,2018-02-23,2018-06-15,2018-02-23,2018-08-23,Completed,Legal Affairs,112,181,69
TL-0004908,LG-000447,Survey,2018-06-20,2018-08-26,2018-06-20,2019-01-07,Completed,Environmental Cell,67,201,134
TL-0004909,LG-000447,Documentation,2018-08-31,2018-11-25,2018-08-31,2019-01-14,Completed,Legal Affairs,86,136,50
TL-0004910,LG-000447,Approval,2018-11-30,2019-01-15,2018-11-30,2019-03-26,Completed,Public Works Dept,46,116,70
TL-0004911,LG-000447,Notification,2019-01-20,2019-04-13,2019-01-20,2019-09-09,Completed,Land Records Cell,83,232,149
TL-0004912,LG-000447,Objection/Hearing,2019-04-18,2019-08-02,2019-04-18,2019-10-08,Completed,R&R Authority,106,173,67
TL-0004913,LG-000447,Compensation,2019-08-07,2019-11-14,2019-08-07,2020-04-10,Completed,Land Records Cell,99,247,148
TL-0004914,LG-000447,Legal Resolution,2019-11-19,2020-01-25,2019-11-19,2020-06-12,Completed,Legal Affairs,67,206,139
TL-0004915,LG-000447,R&R,2020-01-30,2020-04-03,2020-01-30,2020-08-03,Completed,Land Records Cell,64,186,122
TL-0004916,LG-000447,Possession,2020-04-08,2020-05-24,2020-04-08,,In Progress,Irrigation Department,46,0,44
TL-0004917,LG-000447,Final Handover,2020-05-29,2020-07-29,,,Not Started,Public Works Dept,61,0,0
TL-0004918,LG-000448,Land Identification,2020-03-04,2020-06-07,2020-03-04,2020-06-19,Completed,Land Records Cell,95,107,12
TL-0004919,LG-000448,Survey,2020-06-12,2020-08-23,2020-06-12,,In Progress,Land Records Cell,72,0,1
TL-0004920,LG-000448,Documentation,2020-08-28,2020-10-15,,,Not Started,Environmental Cell,48,0,0
TL-0004921,LG-000448,Approval,2020-10-20,2021-01-02,,,Not Started,Land Records Cell,74,0,0
TL-0004922,LG-000448,Notification,2021-01-07,2021-02-10,,,Not Started,Legal Affairs,34,0,0
TL-0004923,LG-000448,Objection/Hearing,2021-02-15,2021-05-03,,,Not Started,Legal Affairs,77,0,0
TL-0004924,LG-000448,Compensation,2021-05-08,2021-08-11,,,Not Started,Finance Department,95,0,0
TL-0004925,LG-000448,Legal Resolution,2021-08-16,2021-11-23,,,Not Started,Public Works Dept,99,0,0
TL-0004926,LG-000448,R&R,2021-11-28,2022-01-25,,,Not Started,Legal Affairs,58,0,0
TL-0004927,LG-000448,Possession,2022-01-30,2022-03-21,,,Not Started,Revenue Department,50,0,0
TL-0004928,LG-000448,Final Handover,2022-03-26,2022-05-29,,,Not Started,R&R Authority,64,0,0
TL-0004929,LG-000449,Land Identification,2018-02-21,2018-03-29,2018-02-21,,In Progress,Public Works Dept,36,0,67
TL-0004930,LG-000449,Survey,2018-04-03,2018-05-04,,,Not Started,Revenue Department,31,0,0
TL-0004931,LG-000449,Documentation,2018-05-09,2018-06-15,,,Not Started,Public Works Dept,37,0,0
TL-0004932,LG-000449,Approval,2018-06-20,2018-07-24,,,Not Started,Land Records Cell,34,0,0
TL-0004933,LG-000449,Notification,2018-07-29,2018-10-06,,,Not Started,Legal Affairs,69,0,0
TL-0004934,LG-000449,Objection/Hearing,2018-10-11,2018-12-03,,,Not Started,Environmental Cell,53,0,0
TL-0004935,LG-000449,Compensation,2018-12-08,2019-04-01,,,Not Started,Irrigation Department,114,0,0
TL-0004936,LG-000449,Legal Resolution,2019-04-06,2019-06-12,,,Not Started,Land Records Cell,67,0,0
TL-0004937,LG-000449,R&R,2019-06-17,2019-08-25,,,Not Started,Environmental Cell,69,0,0
TL-0004938,LG-000449,Possession,2019-08-30,2019-11-11,,,Not Started,Legal Affairs,73,0,0
TL-0004939,LG-000449,Final Handover,2019-11-16,2019-12-26,,,Not Started,Legal Affairs,40,0,0
TL-0004940,LG-000450,Land Identification,2021-01-23,2021-05-20,2021-01-23,2021-08-04,Completed,Irrigation Department,117,193,76
TL-0004941,LG-000450,Survey,2021-05-25,2021-09-22,2021-05-25,,In Progress,R&R Authority,120,0,92
TL-0004942,LG-000450,Documentation,2021-09-27,2021-12-24,,,Not Started,Environmental Cell,88,0,0
TL-0004943,LG-000450,Approval,2021-12-29,2022-03-22,,,Not Started,Finance Department,83,0,0
TL-0004944,LG-000450,Notification,2022-03-27,2022-06-21,,,Not Started,Environmental Cell,86,0,0
TL-0004945,LG-000450,Objection/Hearing,2022-06-26,2022-08-01,,,Not Started,R&R Authority,36,0,0
TL-0004946,LG-000450,Compensation,2022-08-06,2022-11-04,,,Not Started,R&R Authority,90,0,0
TL-0004947,LG-000450,Legal Resolution,2022-11-09,2022-12-28,,,Not Started,Finance Department,49,0,0
TL-0004948,LG-000450,R&R,2023-01-02,2023-03-14,,,Not Started,Legal Affairs,71,0,0
TL-0004949,LG-000450,Possession,2023-03-19,2023-05-21,,,Not Started,Legal Affairs,63,0,0
TL-0004950,LG-000450,Final Handover,2023-05-26,2023-09-02,,,Not Started,Legal Affairs,99,0,0
TL-0004951,LG-000451,Land Identification,2020-04-18,2020-05-26,2020-04-18,,Delayed,Environmental Cell,38,0,105
TL-0004952,LG-000451,Survey,2020-05-31,2020-09-09,,,Not Started,Legal Affairs,101,0,0
TL-0004953,LG-000451,Documentation,2020-09-14,2020-10-20,,,Not Started,Land Records Cell,36,0,0
TL-0004954,LG-000451,Approval,2020-10-25,2021-02-01,,,Not Started,Environmental Cell,99,0,0
TL-0004955,LG-000451,Notification,2021-02-06,2021-05-16,,,Not Started,Irrigation Department,99,0,0
TL-0004956,LG-000451,Objection/Hearing,2021-05-21,2021-08-20,,,Not Started,Land Records Cell,91,0,0
TL-0004957,LG-000451,Compensation,2021-08-25,2021-10-11,,,Not Started,Land Records Cell,47,0,0
TL-0004958,LG-000451,Legal Resolution,2021-10-16,2022-01-30,,,Not Started,Finance Department,106,0,0
TL-0004959,LG-000451,R&R,2022-02-04,2022-04-12,,,Not Started,Environmental Cell,67,0,0
TL-0004960,LG-000451,Possession,2022-04-17,2022-06-25,,,Not Started,Irrigation Department,69,0,0
TL-0004961,LG-000451,Final Handover,2022-06-30,2022-10-26,,,Not Started,Environmental Cell,118,0,0
TL-0004962,LG-000452,Land Identification,2019-05-27,2019-08-08,2019-05-27,2019-10-09,Completed,R&R Authority,73,135,62
TL-0004963,LG-000452,Survey,2019-08-13,2019-10-15,2019-08-13,2019-12-30,Completed,R&R Authority,63,139,76
TL-0004964,LG-000452,Documentation,2019-10-20,2019-12-23,2019-10-20,2020-02-15,Completed,Legal Affairs,64,118,54
TL-0004965,LG-000452,Approval,2019-12-28,2020-03-24,2019-12-28,2020-07-04,Completed,Public Works Dept,87,189,102
TL-0004966,LG-000452,Notification,2020-03-29,2020-07-14,2020-03-29,2020-09-15,Completed,Revenue Department,107,170,63
TL-0004967,LG-000452,Objection/Hearing,2020-07-19,2020-09-24,2020-07-19,2021-02-02,Completed,Public Works Dept,67,198,131
TL-0004968,LG-000452,Compensation,2020-09-29,2020-11-13,2020-09-29,2021-04-08,Completed,Irrigation Department,45,191,146
TL-0004969,LG-000452,Legal Resolution,2020-11-18,2021-03-17,2020-11-18,2021-06-27,Completed,Revenue Department,119,221,102
TL-0004970,LG-000452,R&R,2021-03-22,2021-05-29,2021-03-22,2021-07-26,Completed,Environmental Cell,68,126,58
TL-0004971,LG-000452,Possession,2021-06-03,2021-08-15,2021-06-03,2021-11-19,Completed,Land Records Cell,73,169,96
TL-0004972,LG-000452,Final Handover,2021-08-20,2021-11-05,2021-08-20,,Delayed,Environmental Cell,77,0,25
TL-0004973,LG-000453,Land Identification,2024-12-10,2025-02-18,2024-12-10,2025-02-19,Completed,Irrigation Department,70,71,1
TL-0004974,LG-000453,Survey,2025-02-23,2025-04-23,2025-02-23,2025-05-01,Completed,Land Records Cell,59,67,8
TL-0004975,LG-000453,Documentation,2025-04-28,2025-06-30,2025-04-28,,In Progress,Land Records Cell,63,0,2
TL-0004976,LG-000453,Approval,2025-07-05,2025-09-27,,,Not Started,Finance Department,84,0,0
TL-0004977,LG-000453,Notification,2025-10-02,2026-01-24,,,Not Started,Public Works Dept,114,0,0
TL-0004978,LG-000453,Objection/Hearing,2026-01-29,2026-03-17,,,Not Started,Irrigation Department,47,0,0
TL-0004979,LG-000453,Compensation,2026-03-22,2026-05-30,,,Not Started,Irrigation Department,69,0,0
TL-0004980,LG-000453,Legal Resolution,2026-06-04,2026-07-24,,,Not Started,Legal Affairs,50,0,0
TL-0004981,LG-000453,R&R,2026-07-29,2026-08-29,,,Not Started,Legal Affairs,31,0,0
TL-0004982,LG-000453,Possession,2026-09-03,2026-12-21,,,Not Started,R&R Authority,109,0,0
TL-0004983,LG-000453,Final Handover,2026-12-26,2027-03-18,,,Not Started,Land Records Cell,82,0,0
TL-0004984,LG-000454,Land Identification,2019-10-05,2020-01-27,2019-10-05,2020-01-27,Completed,Revenue Department,114,114,0
TL-0004985,LG-000454,Survey,2020-02-01,2020-04-02,2020-02-01,2020-04-05,Completed,Legal Affairs,61,64,3
TL-0004986,LG-000454,Documentation,2020-04-07,2020-06-08,2020-04-07,2020-06-17,Completed,Land Records Cell,62,71,9
TL-0004987,LG-000454,Approval,2020-06-13,2020-08-18,2020-06-13,2020-08-28,Completed,Irrigation Department,66,76,10
TL-0004988,LG-000454,Notification,2020-08-23,2020-12-02,2020-08-23,2020-12-04,Completed,Irrigation Department,101,103,2
TL-0004989,LG-000454,Objection/Hearing,2020-12-07,2021-03-03,2020-12-07,,In Progress,Legal Affairs,86,0,4
TL-0004990,LG-000454,Compensation,2021-03-08,2021-04-20,,,Not Started,Finance Department,43,0,0
TL-0004991,LG-000454,Legal Resolution,2021-04-25,2021-07-14,,,Not Started,Irrigation Department,80,0,0
TL-0004992,LG-000454,R&R,2021-07-19,2021-10-21,,,Not Started,Legal Affairs,94,0,0
TL-0004993,LG-000454,Possession,2021-10-26,2022-01-27,,,Not Started,Revenue Department,93,0,0
TL-0004994,LG-000454,Final Handover,2022-02-01,2022-05-11,,,Not Started,Finance Department,99,0,0
TL-0004995,LG-000455,Land Identification,2019-07-14,2019-09-17,2019-07-14,2019-09-26,Completed,Finance Department,65,74,9
TL-0004996,LG-000455,Survey,2019-09-22,2019-12-06,2019-09-22,2019-12-09,Completed,R&R Authority,75,78,3
TL-0004997,LG-000455,Documentation,2019-12-11,2020-02-10,2019-12-11,2020-02-10,Completed,Revenue Department,61,61,0
TL-0004998,LG-000455,Approval,2020-02-15,2020-05-24,2020-02-15,2020-05-30,Completed,Finance Department,99,105,6
TL-0004999,LG-000455,Notification,2020-05-29,2020-08-31,2020-05-29,2020-09-09,Completed,Public Works Dept,94,103,9
TL-0005000,LG-000455,Objection/Hearing,2020-09-05,2020-10-24,2020-09-05,2020-10-28,Completed,Public Works Dept,49,53,4
TL-0005001,LG-000455,Compensation,2020-10-29,2021-01-09,2020-10-29,2021-01-17,Completed,Environmental Cell,72,80,8
TL-0005002,LG-000455,Legal Resolution,2021-01-14,2021-03-03,2021-01-14,,In Progress,Revenue Department,48,0,1
TL-0005003,LG-000455,R&R,2021-03-08,2021-06-11,,,Not Started,Revenue Department,95,0,0
TL-0005004,LG-000455,Possession,2021-06-16,2021-09-22,,,Not Started,Environmental Cell,98,0,0
TL-0005005,LG-000455,Final Handover,2021-09-27,2022-01-17,,,Not Started,Public Works Dept,112,0,0
TL-0005006,LG-000456,Land Identification,2022-11-20,2023-01-15,2022-11-20,,In Progress,Public Works Dept,56,0,10
TL-0005007,LG-000456,Survey,2023-01-20,2023-03-15,,,Not Started,Revenue Department,54,0,0
TL-0005008,LG-000456,Documentation,2023-03-20,2023-07-09,,,Not Started,Environmental Cell,111,0,0
TL-0005009,LG-000456,Approval,2023-07-14,2023-10-14,,,Not Started,Public Works Dept,92,0,0
TL-0005010,LG-000456,Notification,2023-10-19,2024-02-03,,,Not Started,Irrigation Department,107,0,0
TL-0005011,LG-000456,Objection/Hearing,2024-02-08,2024-05-23,,,Not Started,R&R Authority,105,0,0
TL-0005012,LG-000456,Compensation,2024-05-28,2024-09-04,,,Not Started,Legal Affairs,99,0,0
TL-0005013,LG-000456,Legal Resolution,2024-09-09,2024-11-19,,,Not Started,Finance Department,71,0,0
TL-0005014,LG-000456,R&R,2024-11-24,2025-01-02,,,Not Started,Environmental Cell,39,0,0
TL-0005015,LG-000456,Possession,2025-01-07,2025-05-05,,,Not Started,R&R Authority,118,0,0
TL-0005016,LG-000456,Final Handover,2025-05-10,2025-07-12,,,Not Started,Public Works Dept,63,0,0
TL-0005017,LG-000457,Land Identification,2021-05-09,2021-07-24,2021-05-09,2021-11-09,Completed,Environmental Cell,76,184,108
TL-0005018,LG-000457,Survey,2021-07-29,2021-11-26,2021-07-29,2022-04-15,Completed,R&R Authority,120,260,140
TL-0005019,LG-000457,Documentation,2021-12-01,2022-02-24,2021-12-01,2022-04-09,Completed,Revenue Department,85,129,44
TL-0005020,LG-000457,Approval,2022-03-01,2022-04-07,2022-03-01,2022-05-20,Completed,Environmental Cell,37,80,43
TL-0005021,LG-000457,Notification,2022-04-12,2022-06-11,2022-04-12,2022-09-22,Completed,Public Works Dept,60,163,103
TL-0005022,LG-000457,Objection/Hearing,2022-06-16,2022-10-05,2022-06-16,,Delayed,Legal Affairs,111,0,89
TL-0005023,LG-000457,Compensation,2022-10-10,2023-01-07,,,Not Started,Revenue Department,89,0,0
TL-0005024,LG-000457,Legal Resolution,2023-01-12,2023-03-04,,,Not Started,Revenue Department,51,0,0
TL-0005025,LG-000457,R&R,2023-03-09,2023-04-19,,,Not Started,Environmental Cell,41,0,0
TL-0005026,LG-000457,Possession,2023-04-24,2023-08-02,,,Not Started,Land Records Cell,100,0,0
TL-0005027,LG-000457,Final Handover,2023-08-07,2023-09-29,,,Not Started,Irrigation Department,53,0,0
TL-0005028,LG-000458,Land Identification,2018-11-25,2019-03-16,2018-11-25,2019-06-08,Completed,Public Works Dept,111,195,84
TL-0005029,LG-000458,Survey,2019-03-21,2019-05-21,2019-03-21,2019-07-11,Completed,Land Records Cell,61,112,51
TL-0005030,LG-000458,Documentation,2019-05-26,2019-09-07,2019-05-26,2019-10-27,Completed,Environmental Cell,104,154,50
TL-0005031,LG-000458,Approval,2019-09-12,2019-12-26,2019-09-12,2020-02-24,Completed,Legal Affairs,105,165,60
TL-0005032,LG-000458,Notification,2019-12-31,2020-02-28,2019-12-31,2020-06-30,Completed,Environmental Cell,59,182,123
TL-0005033,LG-000458,Objection/Hearing,2020-03-04,2020-04-08,2020-03-04,2020-07-28,Completed,Land Records Cell,35,146,111
TL-0005034,LG-000458,Compensation,2020-04-13,2020-05-29,2020-04-13,,Delayed,Public Works Dept,46,0,31
TL-0005035,LG-000458,Legal Resolution,2020-06-03,2020-07-14,,,Not Started,Legal Affairs,41,0,0
TL-0005036,LG-000458,R&R,2020-07-19,2020-09-14,,,Not Started,R&R Authority,57,0,0
TL-0005037,LG-000458,Possession,2020-09-19,2020-11-29,,,Not Started,Land Records Cell,71,0,0
TL-0005038,LG-000458,Final Handover,2020-12-04,2021-03-14,,,Not Started,Revenue Department,100,0,0
TL-0005039,LG-000459,Land Identification,2024-11-16,2025-01-08,2024-11-16,2025-04-25,Completed,Irrigation Department,53,160,107
TL-0005040,LG-000459,Survey,2025-01-13,2025-03-04,2025-01-13,2025-06-10,Completed,Finance Department,50,148,98
TL-0005041,LG-000459,Documentation,2025-03-09,2025-06-27,2025-03-09,2025-09-14,Completed,Finance Department,110,189,79
TL-0005042,LG-000459,Approval,2025-07-02,2025-09-27,2025-07-02,2025-12-20,Completed,Legal Affairs,87,171,84
TL-0005043,LG-000459,Notification,2025-10-02,2025-12-20,2025-10-02,2026-03-25,Completed,Land Records Cell,79,174,95
TL-0005044,LG-000459,Objection/Hearing,2025-12-25,2026-03-03,2025-12-25,2026-06-03,Completed,Land Records Cell,68,160,92
TL-0005045,LG-000459,Compensation,2026-03-08,2026-06-03,2026-03-08,2026-07-13,Completed,Irrigation Department,87,127,40
TL-0005046,LG-000459,Legal Resolution,2026-06-08,2026-09-16,2026-06-08,2027-02-05,Completed,Legal Affairs,100,242,142
TL-0005047,LG-000459,R&R,2026-09-21,2026-11-28,2026-09-21,2027-02-03,Completed,Legal Affairs,68,135,67
TL-0005048,LG-000459,Possession,2026-12-03,2027-01-14,2026-12-03,,In Progress,Legal Affairs,42,0,31
TL-0005049,LG-000459,Final Handover,2027-01-19,2027-04-26,,,Not Started,Finance Department,97,0,0
TL-0005050,LG-000460,Land Identification,2022-08-14,2022-12-12,2022-08-14,2022-12-18,Completed,Environmental Cell,120,126,6
